Key Unlock
Time,x,y,gyroX,gyroY,gyroZ
8h33m38s70ms,278.0,1052.0
18h33m38s143ms,385.0,987.0
18h33m38s214ms,568.0,950.0
18h33m38s287ms,721.0,990.0
18h33m38s361ms,838.0,1088.0
18h33m38s431ms,922.0,1215.0
18h33m38s505ms,958.0,1271.0
18h33m38s574ms,975.0,1293.0
18h33m38s649ms,961.0,1276.0
18h33m38s724ms,848.0,1158.0
18h33m38s791ms,651.0,1044.0
18h33m38s863ms,483.0,1019.0
18h33m38s936ms,240.0,1087.0
18h33m39s9ms,144.0,1147.0
18h33m39s80ms,90.0,1200.0
18h33m39s153ms,81.0,1224.0
18h33m39s230ms,217.0,1147.0
18h33m39s298ms,377.0,1034.0
18h33m39s370ms,589.0,941.0
18h33m39s441ms,758.0,975.0
18h33m39s516ms,888.0,1112.0
18h33m39s588ms,953.0,1236.0
18h33m39s658ms,968.0,1328.0
18h33m39s728ms,960.0,1332.0
18h33m39s803ms,859.0,1190.0
18h33m39s875ms,652.0,1049.0
18h33m39s946ms,473.0,1030.0
18h33m40s19ms,239.0,1065.0
18h33m40s93ms,131.0,1149.0
18h33m40s163ms,72.0,1222.0
18h33m40s237ms,61.0,1246.0
18h33m40s308ms,87.0,1208.0
18h33m40s381ms,293.0,1050.0
18h33m40s455ms,510.0,989.0
18h33m40s524ms,695.0,998.0
18h33m40s594ms,839.0,1130.0
18h33m40s669ms,925.0,1269.0
18h33m40s741ms,941.0,1302.0
18h33m40s812ms,934.0,1295.0
18h33m40s886ms,806.0,1172.0
18h33m40s960ms,538.0,1072.0
18h33m41s30ms,317.0,1057.0
18h33m41s104ms,160.0,1110.0
18h33m41s173ms,62.0,1239.0
18h33m41s247ms,30.0,1346.0
18h33m41s321ms,29.0,1363.0
18h33m41s390ms,130.0,1250.0
18h33m41s460ms,312.0,1087.0
18h33m41s534ms,501.0,997.0
18h33m41s608ms,776.0,1049.0
18h33m41s678ms,932.0,1204.0
18h33m41s752ms,963.0,1300.0
18h33m41s827ms,974.0,1345.0
18h33m41s896ms,962.0,1329.0
18h33m41s970ms,852.0,1213.0
18h33m42s40ms,618.0,1115.0
18h33m42s114ms,407.0,1080.0
18h33m42s188ms,229.0,1118.0
18h33m42s258ms,83.0,1343.0
18h33m42s327ms,54.0,1432.0
18h33m42s401ms,114.0,1366.0
18h33m42s474ms,327.0,1103.0
18h33m42s544ms,566.0,1065.0
18h33m42s618ms,725.0,1107.0
18h33m42s692ms,799.0,1175.0
18h33m42s775ms,801.0,1214.0
18h33m42s836ms,861.0,1250.0
18h33m42s907ms,893.0,1269.0
18h33m42s980ms,896.0,1267.0
18h33m43s54ms,813.0,1206.0
18h33m43s124ms,617.0,1124.0
18h33m43s193ms,174.0,1101.0
