Key Unlock
Time,x,y,gyroX,gyroY,gyroZ
8h33m10s711ms,968.0,1293.0
18h33m10s784ms,967.0,1292.0
18h33m10s860ms,954.0,1271.0
18h33m10s927ms,922.0,1218.0
18h33m10s998ms,866.0,1157.0
18h33m11s71ms,749.0,1089.0
18h33m11s145ms,525.0,1015.0
18h33m11s215ms,280.0,1068.0
18h33m11s289ms,129.0,1165.0
18h33m11s361ms,80.0,1214.0
18h33m11s432ms,64.0,1239.0
18h33m11s507ms,64.0,1246.0
18h33m11s577ms,64.0,1246.0
18h33m11s650ms,122.0,1214.0
18h33m11s720ms,387.0,1086.0
18h33m11s794ms,627.0,1036.0
18h33m11s864ms,790.0,1066.0
18h33m11s937ms,849.0,1134.0
18h33m12s8ms,901.0,1250.0
18h33m12s82ms,927.0,1306.0
18h33m12s155ms,930.0,1313.0
18h33m12s225ms,894.0,1277.0
18h33m12s299ms,592.0,1119.0
18h33m12s373ms,388.0,1105.0
18h33m12s445ms,255.0,1115.0
18h33m12s517ms,165.0,1160.0
18h33m12s587ms,125.0,1218.0
18h33m12s660ms,110.0,1249.0
18h33m12s730ms,108.0,1256.0
18h33m12s804ms,109.0,1256.0
18h33m12s880ms,222.0,1188.0
18h33m12s949ms,464.0,1121.0
18h33m13s22ms,702.0,1140.0
18h33m13s92ms,825.0,1198.0
18h33m13s165ms,890.0,1251.0
18h33m13s239ms,908.0,1266.0
18h33m13s311ms,912.0,1267.0
18h33m13s383ms,912.0,1265.0
18h33m13s454ms,863.0,1227.0
18h33m13s527ms,778.0,1172.0
18h33m13s598ms,695.0,1117.0
18h33m13s670ms,670.0,1100.0
18h33m13s740ms,643.0,1092.0
18h33m13s815ms,609.0,1090.0
18h33m13s888ms,515.0,1102.0
18h33m13s958ms,496.0,1110.0
18h33m14s32ms,494.0,1140.0
18h33m14s106ms,473.0,1148.0
18h33m14s176ms,385.0,1124.0
18h33m14s250ms,293.0,1090.0
18h33m14s320ms,263.0,1108.0
18h33m14s390ms,193.0,1189.0
18h33m14s463ms,156.0,1251.0
18h33m14s537ms,132.0,1314.0
18h33m14s608ms,124.0,1335.0
18h33m14s681ms,120.0,1341.0
18h33m14s755ms,114.0,1342.0
18h33m14s825ms,106.0,1327.0
18h33m14s899ms,138.0,1221.0
18h33m14s969ms,161.0,1172.0
18h33m15s43ms,200.0,1117.0
18h33m15s116ms,291.0,1051.0
18h33m15s187ms,310.0,1051.0
18h33m15s257ms,303.0,1119.0
18h33m15s330ms,395.0,1137.0
18h33m15s404ms,471.0,1099.0
18h33m15s473ms,465.0,1070.0
18h33m15s547ms,472.0,1062.0
18h33m15s621ms,538.0,1068.0
18h33m15s692ms,707.0,1072.0
18h33m15s780ms,755.0,1083.0
18h33m15s835ms,821.0,1122.0
18h33m15s910ms,884.0,1211.0
18h33m15s982ms,922.0,1286.0
18h33m16s54ms,947.0,1342.0
18h33m16s123ms,959.0,1359.0
18h33m16s197ms,964.0,1363.0
18h33m16s271ms,965.0,1353.0
18h33m16s340ms,937.0,1239.0
18h33m16s413ms,834.0,1128.0
18h33m16s488ms,675.0,1069.0
18h33m16s558ms,419.0,1054.0
18h33m16s631ms,289.0,1084.0
18h33m16s703ms,223.0,1121.0
18h33m16s788ms,175.0,1168.0
18h33m16s849ms,146.0,1208.0
18h33m16s919ms,140.0,1212.0
18h33m16s989ms,139.0,1212.0
18h33m17s64ms,138.0,1212.0
18h33m17s137ms,142.0,1165.0
18h33m17s207ms,177.0,1067.0
18h33m17s280ms,329.0,1154.0
18h33m17s350ms,427.0,1245.0
18h33m17s425ms,518.0,1057.0
18h33m17s498ms,626.0,1024.0
18h33m17s568ms,820.0,1091.0
18h33m17s641ms,950.0,1210.0
18h33m17s715ms,987.0,1264.0
18h33m17s797ms,999.0,1289.0
18h33m17s856ms,999.0,1295.0
18h33m17s928ms,999.0,1295.0
18h33m18s3ms,999.0,1295.0
18h33m18s73ms,987.0,1277.0
18h33m18s146ms,888.0,1177.0
18h33m18s216ms,697.0,1042.0
18h33m18s292ms,335.0,1033.0
