Key Unlock
Time,x,y,gyroX,gyroY,gyroZ
h55m34s386ms,80.0,1710.0
1h55m34s460ms,33.0,1630.0
1h55m34s535ms,10.0,1477.0
1h55m34s609ms,60.0,1296.0
1h55m34s684ms,205.0,1131.0
1h55m34s754ms,352.0,1039.0
1h55m34s829ms,521.0,979.0
1h55m34s907ms,646.0,961.0
1h55m34s979ms,766.0,1004.0
1h55m35s52ms,906.0,1129.0
1h55m35s126ms,994.0,1243.0
1h55m35s200ms,1030.0,1434.0
1h55m35s275ms,1031.0,1571.0
1h55m35s350ms,1000.0,1700.0
1h55m35s423ms,981.0,1754.0
1h55m35s499ms,1004.0,1635.0
1h55m35s572ms,1036.0,1447.0
1h55m35s650ms,1013.0,1267.0
1h55m35s721ms,949.0,1162.0
1h55m35s791ms,839.0,1100.0
1h55m35s874ms,680.0,1063.0
1h55m35s944ms,491.0,1069.0
1h55m36s16ms,329.0,1144.0
1h55m36s89ms,165.0,1264.0
1h55m36s163ms,103.0,1374.0
1h55m36s237ms,83.0,1536.0
1h55m36s313ms,78.0,1627.0
1h55m36s386ms,116.0,1714.0
1h55m36s460ms,136.0,1727.0
1h55m36s536ms,142.0,1618.0
1h55m36s609ms,156.0,1376.0
1h55m36s684ms,237.0,1199.0
1h55m36s758ms,382.0,1074.0
1h55m36s828ms,526.0,1020.0
1h55m36s904ms,705.0,1057.0
1h55m36s981ms,780.0,1102.0
1h55m37s52ms,903.0,1234.0
1h55m37s126ms,966.0,1429.0
1h55m37s200ms,972.0,1585.0
1h55m37s275ms,954.0,1701.0
1h55m37s349ms,949.0,1679.0
1h55m37s423ms,966.0,1435.0
1h55m37s497ms,908.0,1264.0
1h55m37s571ms,780.0,1150.0
1h55m37s646ms,585.0,1099.0
1h55m37s721ms,418.0,1119.0
1h55m37s791ms,203.0,1237.0
1h55m37s866ms,85.0,1394.0
1h55m37s941ms,55.0,1538.0
1h55m38s15ms,48.0,1641.0
1h55m38s89ms,75.0,1706.0
1h55m38s164ms,127.0,1745.0
1h55m38s237ms,117.0,1674.0
1h55m38s311ms,70.0,1431.0
1h55m38s386ms,75.0,1247.0
1h55m38s460ms,256.0,1113.0
1h55m38s535ms,413.0,1063.0
1h55m38s605ms,594.0,1058.0
1h55m38s684ms,795.0,1123.0
1h55m38s758ms,898.0,1235.0
1h55m38s829ms,995.0,1435.0
1h55m38s903ms,1011.0,1571.0
1h55m38s977ms,1001.0,1663.0
1h55m39s52ms,956.0,1553.0
1h55m39s127ms,938.0,1367.0
1h55m39s200ms,817.0,1188.0
1h55m39s274ms,628.0,1117.0
1h55m39s349ms,373.0,1114.0
1h55m39s423ms,167.0,1176.0
1h55m39s497ms,4.0,1324.0
1h55m39s572ms,4.0,1324.0
1h55m39s643ms,4.0,1324.0
1h55m39s724ms,4.0,1324.0
1h55m39s791ms,0.0,1679.0
1h55m39s870ms,0.0,1674.0
1h55m39s940ms,12.0,1497.0
1h55m40s14ms,92.0,1341.0
1h55m40s89ms,290.0,1167.0
1h55m40s165ms,474.0,1073.0
1h55m40s237ms,661.0,1047.0
1h55m40s311ms,779.0,1105.0
1h55m40s387ms,908.0,1257.0
1h55m40s460ms,954.0,1395.0
1h55m40s535ms,969.0,1533.0
1h55m40s605ms,969.0,1589.0
1h55m40s679ms,964.0,1603.0
1h55m40s762ms,903.0,1441.0
1h55m40s828ms,842.0,1262.0
1h55m40s903ms,692.0,1102.0
1h55m40s977ms,525.0,1073.0
1h55m41s51ms,379.0,1123.0
1h55m41s126ms,221.0,1241.0
1h55m41s199ms,145.0,1389.0
1h55m41s274ms,159.0,1584.0
1h55m41s348ms,214.0,1706.0
1h55m41s423ms,229.0,1702.0
1h55m41s497ms,230.0,1514.0
1h55m41s573ms,246.0,1278.0
1h55m41s642ms,342.0,1144.0
1h55m41s717ms,485.0,1077.0
1h55m41s795ms,673.0,1079.0
1h55m41s865ms,833.0,1140.0
1h55m41s940ms,990.0,1289.0
1h55m42s13ms,1027.0,1488.0
1h55m42s90ms,1017.0,1635.0
1h55m42s163ms,1013.0,1651.0
1h55m42s244ms,1020.0,1491.0
1h55m42s311ms,1001.0,1286.0
1h55m42s385ms,880.0,1127.0
1h55m42s460ms,629.0,1048.0
1h55m42s534ms,416.0,1112.0
